,geoid,oz,LICadj,eligible,k=6,k6silhouette_score,not_picked
67267,51710004200,1,0,1,2.0,0.14780114414424453,0
67268,51107611400,0,0,0,,,0
67269,51107611005,0,0,0,,,0
67270,51107611101,0,0,0,,,0
67271,51107610300,0,0,0,,,0
67272,51710005800,0,0,1,,,1
67273,51710006100,0,0,1,,,1
67274,51710006607,0,1,1,,,1
67275,51710002600,1,0,1,2.0,0.12585255193997466,0
67276,51710003600,0,0,1,,,1
67277,51710004001,0,0,1,,,1
67278,51710004002,0,0,0,,,0
67279,51710004100,1,0,1,1.0,0.05679232237370595,0
67280,51710004400,0,0,1,,,1
67281,51710004700,1,0,1,5.0,0.21363052480880548,0
67282,51710004800,1,0,1,1.0,-0.05182460268127906,0
67283,51710005901,0,0,1,,,1
67284,51710006200,0,0,1,,,1
67285,51520020400,1,0,1,2.0,-0.04505858455769763,0
67286,51520020200,0,0,1,,,1
67287,51520020100,1,0,1,2.0,-0.10860027468769722,0
67288,51520020300,0,0,1,,,1
67289,51580060100,0,0,1,,,1
67290,51580060200,1,0,1,2.0,0.07232340765517623,0
67291,51740211700,1,0,1,1.0,-0.057929867011215296,0
67292,51740211800,1,0,1,0.0,0.1447468695734119,0
67293,51740212600,0,0,1,,,1
67294,51740213103,0,1,1,,,1
67295,51740211400,1,0,1,5.0,-0.11692411588506361,0
67296,51075400100,0,0,0,,,0
67297,51075400500,0,0,0,,,0
67298,51075400400,0,0,0,,,0
67299,51075400300,0,0,0,,,0
67300,51075400200,0,0,0,,,0
67301,51107611002,0,1,1,,,1
67302,51107611202,0,0,0,,,0
67303,51107611204,0,0,1,,,1
67304,51710000400,0,0,1,,,1
67305,51710000800,0,0,1,,,1
67306,51710002400,0,0,0,,,0
67307,51710004500,0,0,1,,,1
67308,51710005500,0,0,1,,,1
67309,51710005602,0,0,1,,,1
67310,51710000600,0,0,1,,,1
67311,51710001600,0,0,1,,,1
67312,51710002000,0,1,1,,,1
67313,51710002800,0,0,0,,,0
67314,51710003400,0,0,1,,,1
67315,51710005902,0,0,1,,,1
67316,51710005903,0,0,1,,,1
67317,51710006601,0,0,1,,,1
67318,51710006604,0,0,1,,,1
67319,51710003501,1,0,1,2.0,0.17638130699444465,0
67320,51710003700,0,0,1,,,1
67321,51710004600,0,0,1,,,1
67322,51710005702,0,0,1,,,1
67323,51710006000,0,0,1,,,1
67324,51710006502,1,0,1,3.0,0.051033864141765264,0
67325,51107611006,0,0,0,,,0
67326,51107611300,0,0,1,,,1
67327,51107610400,0,0,0,,,0
67328,51107610800,0,0,0,,,0
67329,51107611205,0,1,1,,,1
67330,51107611700,1,0,1,1.0,-0.07142416477650759,0
67331,51107610602,0,0,0,,,0
67332,51107611004,0,0,0,,,0
67333,51107610601,0,0,0,,,0
67334,51107611102,0,0,0,,,0
67335,51107610900,0,0,0,,,0
67336,51153901601,0,0,1,,,1
67337,51153901208,0,0,0,,,0
67338,51153900100,0,0,0,,,0
67339,51153901008,1,0,1,2.0,-0.01953650491027645,0
67340,51153901211,0,0,1,,,1
67341,51153901223,0,0,1,,,1
67342,51153901005,0,0,0,,,0
67343,51710002200,0,0,0,,,0
67344,51710002500,1,0,1,0.0,0.26792157689148316,0
67345,51710002700,1,0,1,2.0,0.010385432101662654,0
67346,51710002900,1,0,1,1.0,0.05653814356154954,0
67347,51710003000,0,0,1,,,1
67348,51710006400,0,0,1,,,1
67349,51710006605,0,1,1,,,1
67350,51710000202,0,0,1,,,1
67351,51041100815,0,0,0,,,0
67352,51710004300,0,0,1,,,1
